delta_mm,F_measured_N
0.000000000000000000e+00,3.268985748428225691e+01
3.333333333333333222e-04,6.321733379133041808e+02
6.666666666666666444e-04,1.498675628989260531e+03
1.000000000000000021e-03,2.023338571717106333e+03
1.333333333333333289e-03,2.518081234328568826e+03
1.666666666666666557e-03,3.409204486559340239e+03
2.000000000000000042e-03,4.307777766921361945e+03
2.333333333333333093e-03,4.863431947397686599e+03
2.666666666666666578e-03,5.076795539131744590e+03
3.000000000000000062e-03,5.566702497579371993e+03
3.333333333333333114e-03,6.362255280899871650e+03
3.666666666666666598e-03,7.155610379812508654e+03
4.000000000000000083e-03,7.152234498010084280e+03
4.333333333333333134e-03,8.302445343200031857e+03
4.666666666666666186e-03,8.628131002765132507e+03
5.000000000000000104e-03,9.344042937541818901e+03
5.333333333333333155e-03,9.964442379342470304e+03
5.666666666666666206e-03,1.058395184094418801e+04
6.000000000000000125e-03,1.132179295622247264e+04
6.333333333333333176e-03,1.202240247367493976e+04
6.666666666666666227e-03,1.224221815108203009e+04
7.000000000000000146e-03,1.314266616327872543e+04
7.333333333333333197e-03,1.311343989338363281e+04
7.666666666666666248e-03,1.386388302485816894e+04
8.000000000000000167e-03,1.448046757013717252e+04
8.333333333333333218e-03,1.472997807779688446e+04
8.666666666666666269e-03,1.495904677421367160e+04
8.999999999999999320e-03,1.534637528126491088e+04
9.333333333333332371e-03,1.588755545954227819e+04
9.666666666666667157e-03,1.647128741421954328e+04
1.000000000000000021e-02,1.654602955010340520e+04
1.033333333333333326e-02,1.713577564436903049e+04
1.066666666666666631e-02,1.751767280665624276e+04
1.099999999999999936e-02,1.805604479988974344e+04
1.133333333333333241e-02,1.831521907557049417e+04
1.166666666666666546e-02,1.868362071366491364e+04
1.200000000000000025e-02,1.874109872272531356e+04
1.233333333333333330e-02,1.918555476920339061e+04
1.266666666666666635e-02,1.971978617547657996e+04
1.299999999999999940e-02,2.018974015260728629e+04
1.333333333333333245e-02,1.974865209838705414e+04
1.366666666666666551e-02,2.073353178984839906e+04
1.400000000000000029e-02,2.094336483069591850e+04
1.433333333333333334e-02,2.104001318059662663e+04
1.466666666666666639e-02,2.113926445040237013e+04
1.499999999999999944e-02,2.121300989269419733e+04
1.533333333333333250e-02,2.188862116175529081e+04
1.566666666666666555e-02,2.222518279651260673e+04
1.600000000000000033e-02,2.238128497621060160e+04
1.633333333333333165e-02,2.244378403392087057e+04
1.666666666666666644e-02,2.237571155935250863e+04
1.699999999999999775e-02,2.214178589591809578e+04
1.733333333333333254e-02,2.262044513069824461e+04
1.766666666666666732e-02,2.295071273672718962e+04
1.799999999999999864e-02,2.259652096990676000e+04
1.833333333333333343e-02,2.317899456215346800e+04
1.866666666666666474e-02,2.332635410543573016e+04
1.899999999999999953e-02,2.352769673301196963e+04
1.933333333333333431e-02,2.316504454699526468e+04
1.966666666666666563e-02,2.342135326482881283e+04
2.000000000000000042e-02,2.359492553795776985e+04
