delta_mm,F_measured_N
0.000000000000000000e+00,-2.388782287748499868e+02
5.000000000000000104e-04,1.140198828896487157e+03
1.000000000000000021e-03,1.466442136312695084e+03
1.500000000000000031e-03,2.412975792418413675e+03
2.000000000000000042e-03,3.064245084848325860e+03
2.500000000000000052e-03,4.202647291847718407e+03
3.000000000000000062e-03,4.900115262678386898e+03
3.500000000000000073e-03,5.498038442960991233e+03
4.000000000000000083e-03,5.642180027373899975e+03
4.500000000000000527e-03,6.809804487438076649e+03
5.000000000000000104e-03,7.627954700946540470e+03
5.499999999999999681e-03,8.363359009376223185e+03
6.000000000000000125e-03,8.681900495609916106e+03
6.500000000000000569e-03,9.808679206549400988e+03
7.000000000000000146e-03,9.773575412298388983e+03
7.499999999999999722e-03,1.049220944820466684e+04
8.000000000000000167e-03,1.137940795238454484e+04
8.500000000000000611e-03,1.173650288020262451e+04
9.000000000000001055e-03,1.265015972978963327e+04
9.499999999999999764e-03,1.277134542258992406e+04
1.000000000000000021e-02,1.307211891420894608e+04
1.050000000000000065e-02,1.357016487251684339e+04
1.099999999999999936e-02,1.384795835225591509e+04
1.149999999999999981e-02,1.421151950010391556e+04
1.200000000000000025e-02,1.498150590224696134e+04
1.250000000000000069e-02,1.533110485539361252e+04
1.300000000000000114e-02,1.581641139144425688e+04
1.349999999999999985e-02,1.571827122988456904e+04
1.400000000000000029e-02,1.651900809120933991e+04
1.450000000000000074e-02,1.639928966140261400e+04
1.499999999999999944e-02,1.704630273231480169e+04
1.549999999999999989e-02,1.688696311901551599e+04
1.600000000000000033e-02,1.706017154312020284e+04
1.650000000000000078e-02,1.748163663898530649e+04
1.700000000000000122e-02,1.784752898638330953e+04
1.750000000000000167e-02,1.786279625887610746e+04
1.800000000000000211e-02,1.789082880610700158e+04
1.849999999999999908e-02,1.790515524365486272e+04
1.899999999999999953e-02,1.805032227173649153e+04
1.949999999999999997e-02,1.858613924740548100e+04
2.000000000000000042e-02,1.882267970096876161e+04
