eps,sigma_obs_MPa
0.000000000000000000e+00,3.268985748428225868e-01
3.333333333333333493e-05,6.321733379133041453e+00
6.666666666666666986e-05,1.498675628989260566e+01
1.000000000000000048e-04,2.023338571717106404e+01
1.333333333333333397e-04,2.518081234328568740e+01
1.666666666666666611e-04,3.409204486559340097e+01
2.000000000000000096e-04,4.307777766921361717e+01
2.333333333333333039e-04,4.863431947397686628e+01
2.666666666666666794e-04,5.076795539131744306e+01
3.000000000000000279e-04,5.566702497579372277e+01
3.333333333333333222e-04,6.362255280899871934e+01
3.666666666666666707e-04,7.155610379812509336e+01
4.000000000000000192e-04,7.152234498010083996e+01
4.333333333333333134e-04,8.302445343200031402e+01
4.666666666666666077e-04,8.628131002765132962e+01
5.000000000000000104e-04,9.344042937541819072e+01
5.333333333333333589e-04,9.964442379342470701e+01
5.666666666666665990e-04,1.058395184094418795e+02
6.000000000000000559e-04,1.132179295622247253e+02
6.333333333333332959e-04,1.202240247367493993e+02
6.666666666666666444e-04,1.224221815108202946e+02
6.999999999999999929e-04,1.314266616327872441e+02
7.333333333333333414e-04,1.311343989338363372e+02
7.666666666666665814e-04,1.386388302485816837e+02
8.000000000000000383e-04,1.448046757013717354e+02
8.333333333333332784e-04,1.472997807779688344e+02
8.666666666666666269e-04,1.495904677421367239e+02
8.999999999999999754e-04,1.534637528126491191e+02
9.333333333333332154e-04,1.588755545954227841e+02
9.666666666666666723e-04,1.647128741421954317e+02
1.000000000000000021e-03,1.654602955010340395e+02
1.033333333333333369e-03,1.713577564436903060e+02
1.066666666666666718e-03,1.751767280665624185e+02
1.099999999999999849e-03,1.805604479988974447e+02
1.133333333333333198e-03,1.831521907557049360e+02
1.166666666666666546e-03,1.868362071366491364e+02
1.200000000000000112e-03,1.874109872272531447e+02
1.233333333333333243e-03,1.918555476920338947e+02
1.266666666666666592e-03,1.971978617547657961e+02
1.299999999999999940e-03,2.018974015260728549e+02
1.333333333333333289e-03,1.974865209838705482e+02
1.366666666666666637e-03,2.073353178984839928e+02
1.399999999999999986e-03,2.094336483069591850e+02
1.433333333333333334e-03,2.104001318059662538e+02
1.466666666666666683e-03,2.113926445040237070e+02
1.500000000000000031e-03,2.121300989269419688e+02
1.533333333333333163e-03,2.188862116175529025e+02
1.566666666666666511e-03,2.222518279651260684e+02
1.600000000000000077e-03,2.238128497621060262e+02
1.633333333333333208e-03,2.244378403392087193e+02
1.666666666666666557e-03,2.237571155935250999e+02
1.699999999999999688e-03,2.214178589591809612e+02
1.733333333333333254e-03,2.262044513069824347e+02
1.766666666666666819e-03,2.295071273672718917e+02
1.799999999999999951e-03,2.259652096990676000e+02
1.833333333333333299e-03,2.317899456215346845e+02
1.866666666666666431e-03,2.332635410543572902e+02
1.899999999999999996e-03,2.352769673301197031e+02
1.933333333333333345e-03,2.316504454699526434e+02
1.966666666666666476e-03,2.342135326482881226e+02
2.000000000000000042e-03,2.359492553795776928e+02
