eps,sigma_obs_MPa
0.000000000000000000e+00,-3.041484960209447141e+00
5.000000000000000240e-05,1.451742843005458461e+01
1.000000000000000048e-04,1.867127751862356888e+01
1.500000000000000140e-04,3.072289015047636340e+01
2.000000000000000096e-04,3.901508893364305663e+01
2.500000000000000052e-04,5.350964211672673798e+01
3.000000000000000279e-04,6.239005936692623777e+01
3.499999999999999964e-04,7.000303594297162135e+01
4.000000000000000192e-04,7.183829930448051471e+01
4.500000000000000419e-04,8.670492089938981906e+01
5.000000000000000104e-04,9.712190859366614859e+01
5.499999999999999247e-04,1.064853451664912427e+02
6.000000000000000559e-04,1.105411318514122172e+02
6.500000000000000786e-04,1.248876904322561785e+02
6.999999999999999929e-04,1.244407360873235007e+02
7.500000000000000156e-04,1.335906474179356564e+02
8.000000000000000383e-04,1.448867831981734753e+02
8.500000000000000611e-04,1.494334463993203883e+02
9.000000000000000838e-04,1.610664595083986796e+02
9.499999999999999981e-04,1.626094400635335262e+02
1.000000000000000021e-03,1.664389981437349775e+02
1.050000000000000152e-03,1.727803014071408541e+02
1.099999999999999849e-03,1.763172695729044221e+02
1.149999999999999981e-03,1.809462630519979029e+02
1.200000000000000112e-03,1.907500114877382202e+02
1.250000000000000026e-03,1.952012331982889179e+02
1.300000000000000157e-03,2.013803334790457882e+02
1.350000000000000071e-03,2.001307770548073393e+02
1.399999999999999986e-03,2.103260515814787084e+02
1.450000000000000117e-03,2.088017527553172101e+02
1.500000000000000031e-03,2.170397597697326262e+02
1.549999999999999946e-03,2.150109895469253161e+02
1.600000000000000077e-03,2.172163425403641668e+02
1.649999999999999991e-03,2.225825902595531716e+02
1.700000000000000122e-03,2.272412654237752463e+02
1.750000000000000253e-03,2.274356539199911538e+02
1.800000000000000168e-03,2.277925745620957514e+02
1.849999999999999865e-03,2.279749840037542867e+02
1.899999999999999996e-03,2.298233036890309506e+02
1.949999999999999910e-03,2.366455213573399590e+02
2.000000000000000042e-03,2.396572409086931543e+02
